id,name_ar,category,sku,image_url
ups-1200va-line-interactive-pro-080,يو بي إس 1200VA Line-Interactive Pro,طاقة,PWR-0080,https://m.media-amazon.com/images/I/51XH66AUbIL._AC_SL1380_.jpg
poe-switch-4-port-plus-081,بو إي Switch 4-Port Plus,طاقة,PWR-0081,https://m.media-amazon.com/images/I/51KP-TloiOL._AC_SL1000_.jpg
poe-injector-48v-pro-082,بو إي Injector 48V Pro,طاقة,PWR-0082,https://m.media-amazon.com/images/I/51kQw9iZilL._SL1200_.jpg
ups-1200va-line-interactive-083,يو بي إس 1200VA Line-Interactive,طاقة,PWR-0083,https://m.media-amazon.com/images/I/6141m31if1L._AC_SL1500_.jpg
poe-switch-4-port-pro-084,بو إي Switch 4-Port Pro,طاقة,PWR-0084,https://m.media-amazon.com/images/I/71+WiFuh8RL._AC_SL1500_.jpg
poe-injector-48v-plus-085,بو إي Injector 48V Plus,طاقة,PWR-0085,https://m.media-amazon.com/images/I/41jqSgvZsEL._AC_.jpg
ups-1200va-line-interactive-pro-086,يو بي إس 1200VA Line-Interactive Pro,طاقة,PWR-0086,https://m.media-amazon.com/images/I/61VBvyu-DLL._AC_SL1500_.jpg
poe-switch-4-port-pro-087,بو إي Switch 4-Port Pro,طاقة,PWR-0087,https://www.leonton.com/img/product-image/PG2-1604-SFP_img01.png
poe-injector-48v-088,بو إي Injector 48V,طاقة,PWR-0088,https://m.media-amazon.com/images/I/417EIaWlxyL._AC_SL1000_.jpg
ups-1200va-line-interactive-pro-089,يو بي إس 1200VA Line-Interactive Pro,طاقة,PWR-0089,https://m.media-amazon.com/images/I/619Nz5b8exL._AC_SL1500_.jpg
poe-switch-4-port-plus-090,بو إي Switch 4-Port Plus,طاقة,PWR-0090,https://m.media-amazon.com/images/I/41A6FOkxrxL._AC_SL1500_.jpg
sfp-1g-singlemode-10km-ddm-091,إس إف بي 1G Single-Mode 10km DDM,SFP,SFP-0091,https://m.media-amazon.com/images/I/511X1IS0YHL._SL1296_.jpg
sfpplus-10g-sr-multimode-industrial-092,إس إف بي بلس 10G SR Multi-Mode Industrial,SFP,SFP-0092,https://img.genuinemodules.com/cache/catalog/products/SFP-10G-SR/SFP-10G-SR-1-1000x1000.jpg
sfp-1g-rj45-copper-093,إس إف بي 1G RJ45 Copper,SFP,SFP-0093,https://m.media-amazon.com/images/I/51n1zyX7l9L._AC_SL1500_.jpg
sfp-1g-singlemode-10km-industrial-094,إس إف بي 1G Single-Mode 10km Industrial,SFP,SFP-0094,https://m.media-amazon.com/images/I/71+2b7gVWUL._AC_SL1500_.jpg
sfpplus-10g-sr-multimode-ddm-095,إس إف بي بلس 10G SR Multi-Mode DDM,SFP,SFP-0095,https://m.media-amazon.com/images/I/41vTy29gvsL.jpg
sfp-1g-rj45-copper-compatible-096,إس إف بي 1G RJ45 Copper Compatible,SFP,SFP-0096,https://m.media-amazon.com/images/I/618b6yxp6KL._AC_SY300_SX300_QL70_ML2_.jpg
sfp-1g-singlemode-10km-compatible-097,إس إف بي 1G Single-Mode 10km Compatible,SFP,SFP-0097,https://m.media-amazon.com/images/I/71guNUy6auL._AC_SL1500_.jpg
sfpplus-10g-sr-multimode-compatible-098,إس إف بي بلس 10G SR Multi-Mode Industrial,SFP,SFP-0098,https://m.media-amazon.com/images/I/41XZhDjezdL.jpg
sfp-1g-rj45-copper-industrial-099,إس إف بي 1G RJ45 Copper Industrial,SFP,SFP-0099,https://m.media-amazon.com/images/I/71j0xCt-6mL._AC_SL1500_.jpg
sfp-1g-singlemode-10km-compatible-100,إس إف بي 1G Single-Mode 10km Compatible,SFP,SFP-0100,https://m.media-amazon.com/images/I/41ud52vkroL._AC_SL1024_.jpg
sfpplus-10g-sr-multimode-compatible-101,إس إف بي بلس 10G SR Multi-Mode Compatible,SFP,SFP-0101,https://m.media-amazon.com/images/I/51jlRzUNZeL._AC_SY300_SX300_QL70_ML2_.jpg
sfp-1g-rj45-copper-compatible-102,إس إف بي 1G RJ45 Copper Compatible,SFP,SFP-0102,https://m.media-amazon.com/images/I/51VCBeZVP+L._AC_SL1008_.jpg
sfp-1g-singlemode-10km-industrial-103,إس إف بي 1G Single-Mode 10km Industrial,SFP,SFP-0103,https://m.media-amazon.com/images/I/71R9qIiZauL._AC_SL1500_.jpg
sfpplus-10g-sr-multimode-compatible-104,إس إف بي بلس 10G SR Multi-Mode Compatible,SFP,SFP-0104,https://m.media-amazon.com/images/I/61YdhiBHSLL._AC_SL1500_.jpg
sfp-1g-rj45-copper-ddm-105,إس إف بي 1G RJ45 Copper DDM,SFP,SFP-0105,https://m.media-amazon.com/images/I/51rguktiTWL._SX342_SY445_QL70_ML2_.jpg
mikrotik-sxtsq-5-106,MikroTik SXTsq 5,CPE,CPE-0106,https://microless.com/cdn/products/f5b0a36063254288f4a8907e879b1869-hi.jpg
ubiquiti-nanobeam-5ac-lhg-107,Ubiquiti NanoBeam 5AC LHG,CPE,CPE-0107,https://m.media-amazon.com/images/I/712SIZ3pP-L._AC_SL1500_.jpg
tplink-cpe510-5ghz-108,TP-Link سي بي إي510 5GHz,CPE,CPE-0108,https://static.tp-link.com/outdoor510210-01_1492403404045z.jpg
mikrotik-sxtsq-5-lhg-109,MikroTik SXTsq 5 LHG,CPE,CPE-0109,https://interprojekt.pl/media/catalog/product/cache/9230452771ab8ef27571e17acaafed14/m/i/mikrotik-sxtsq-5-ax-sxtsq-5axd_24486.jpg
